Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content TypeAbstract,Title-fixec,Authors-fixed
"CARS 2015 Computer Assisted Radiology and Surgery Proceedings of the 29th International Congress and Exhibition Barcelona, Spain, June 24 27, 2015",International Journal of Computer Assisted Radiology and Surgery,,10,1,10.1007/s11548-015-1213-2,,2015,http://link.springer.com/article/10.1007/s11548-015-1213-2,Article,,,"CARS 2015 Computer Assisted Radiology and Surgery Proceedings of the 29th International Congress and Exhibition Barcelona, Spain, June 24 27, 2015"
Buchstaben,Phraseological Dictionary English - German,,,,10.1007/978-3-642-22282-5_1,Roland KrausPeter Baumgartner,2011,http://link.springer.com/chapter/10.1007/978-3-642-22282-5_1,Chapter,,"Roland Kraus, Peter Baumgartner",
Abstracts from the 2017 Society of General Internal Medicine Annual Meeting,Journal of General Internal Medicine,,32,2,10.1007/s11606-017-4028-8,,2017,http://link.springer.com/article/10.1007/s11606-017-4028-8,Article,,,Abstracts from the 2017 Society of General Internal Medicine Annual Meeting
Massive Data Sets Issues in Earth Observing,Handbook of Massive Data Sets,,,,10.1007/978-1-4615-0005-6_29,Ruixin YangMenas Kafatos,2002,http://link.springer.com/chapter/10.1007/978-1-4615-0005-6_29,Chapter,"Current and next decade global Earth observing, other remote sensing and related climate analysis data collected by space and operational U.S. agencies such as NASA and NOAA, the European ESA, the Japanese NASDA and other international agency missions of India, China, Russia, etc. will reach unprecedented data volumes, exceeding many petabytes. This is rushing in a new era in Earth system science. Along with the technology and data volumes afforded by remote sensing, there has been an unprecedented increase of capabilities in distributed data systems in the last few years. The existence of the Internet and the World Wide Web afford users access to data at diverse distributed sites that would had been very difficult in the past and only available to specialists. These data can be accessed by a variety of scientists, applications experts and the general public. Yet, the unprecedented large volumes of such missions are also presenting formidable challenges to wide user access and require both higher bandwidths of future Internet systems as well as more focused, user-centered data productions. Specialized data productions are best achieved in federated data systems. The large data volumes present a challenge of access, storage and distribution. What is most important is not just the volume of the data itself but the information they contain. A data system's usefulness is related to the ease that its users can search and access products and as such obtain information on the actual content of data before proceeding to order large volumes of data sets which may or may not serve their needs. Here we explore different functionalities in distributed Earth observing data systems and associated interoperability options. As an example, we examine options in the Earth Science Information Partners Federation (ESIPs) funded by NASA to extend the usage of NASA remote sensing data holdings. Results of several interoperability options applicable to federated systems are also presented. We also examine challenges presented by the use of regional remote sensing missions such as hyperspectral imaging.","Ruixin Yang, Menas Kafatos",
Abstractbook of the Joint Conference 2017 of the DGHM & VAAM: Microbiology and Infection,BIOspektrum,,23,1,10.1007/s12268-017-0772-x,,2017,http://link.springer.com/article/10.1007/s12268-017-0772-x,Article,,,Abstractbook of the Joint Conference 2017 of the DGHM & VAAM: Microbiology and Infection
Health exploring complexity: an interdisciplinary systems approach HEC2016,European Journal of Epidemiology,,31,1,10.1007/s10654-016-0183-1,Eva GrillMartin MüllerUlrich Mansmann,2016,http://link.springer.com/article/10.1007/s10654-016-0183-1,Article,,"Eva Grill, Martin Müller, Ulrich Mansmann",Health exploring complexity: an interdisciplinary systems approach HEC2016
"Novel Learning Tasks, Optimization, and Their Application",Advances in Computational Intelligence,,,,10.1007/978-3-662-05609-7_8,Guido DanielJan DienstuhlSebastian EngellSven FelskeKarl GoserRalf KlinkenbergKatharina MorikOliver RitthoffHenner Schmidt-Traub,2003,http://link.springer.com/chapter/10.1007/978-3-662-05609-7_8,Chapter,"This chapter describes methods for learning and optimizing solutions to engineering problems. Where standard learning tasks do not fit the requirements of the applications, they are varied. In particular, the use of prior knowledge and unlabeled examples may ease a learning task. In contrast, learning target concepts that change over time and constructing new features are challenging learning tasks. The changes of the learning tasks that ease as well as those that challenge learning cover a broad range of application problems. Solutions to the new, nonstandard learning tasks are developed, integrating numerical optimization strategies, evolutionary algorithms, support vector machines, neural networks, and fuzzy controllers. A workbench for learning methods allows their systematic evaluation with respect to the engineering problems.","Guido Daniel, Jan Dienstuhl, Sebastian Engell, Sven Felske, Karl Goser, Ralf Klinkenberg, Katharina Morik, Oliver Ritthoff, Henner Schmidt-Traub",
ECR 2017   BOOK OF ABSTRACTS,Insights into Imaging,,8,1,10.1007/s13244-017-0546-5,,2017,http://link.springer.com/article/10.1007/s13244-017-0546-5,Article,,,ECR 2017   BOOK OF ABSTRACTS
"Healthy Living: The European Congress of Epidemiology, 2015",European Journal of Epidemiology,,30,8,10.1007/s10654-015-0072-z,Esther BolsLuc SmitsMatty Weijenberg,2015,http://link.springer.com/article/10.1007/s10654-015-0072-z,Article,,"Esther Bols, Luc Smits, Matty Weijenberg","Healthy Living: The European Congress of Epidemiology, 2015"
Abstracts,Virchows Archiv,,471,1,10.1007/s00428-017-2205-0,,2017,http://link.springer.com/article/10.1007/s00428-017-2205-0,Article,,, Abstracts 
Seminars,Annals of Behavioral Medicine,,45,2,10.1007/s12160-013-9469-7,   ,2013,http://link.springer.com/article/10.1007/s12160-013-9469-7,Article,,   ,Seminars
"CARS 2016 Computer Assisted Radiology and Surgery Proceedings of the 30th International Congress and Exhibition Heidelberg, Germany, June 21 25, 2016",International Journal of Computer Assisted Radiology and Surgery,,11,1,10.1007/s11548-016-1412-5,,2016,http://link.springer.com/article/10.1007/s11548-016-1412-5,Article,,,"CARS 2016 Computer Assisted Radiology and Surgery Proceedings of the 30th International Congress and Exhibition Heidelberg, Germany, June 21 25, 2016"
"Proceedings of the World Molecular Imaging Congress 2015, Honolulu, Hawaii, September 2-5, 2015: General Abstracts",Molecular Imaging and Biology,,18,1,10.1007/s11307-016-0969-2,,2016,http://link.springer.com/article/10.1007/s11307-016-0969-2,Article,,,"Proceedings of the World Molecular Imaging Congress 2015, Honolulu, Hawaii, September 2-5, 2015: General Abstracts"
62ND ASMS Conference on Mass Spectrometry and Allied Topics,Journal of The American Society for Mass Spectrometry,,25,1,10.1007/s13361-014-0918-8,Judith Sjoberg,2014,http://link.springer.com/article/10.1007/s13361-014-0918-8,Article,,Judith Sjoberg,62ND ASMS Conference on Mass Spectrometry and Allied Topics
"Seasonal observations and machine-learning-based spatial model predictions for the common raven (Corvus corax) in the urban, sub-arctic environment of Fairbanks, Alaska",Polar Biology,,36,11,10.1007/s00300-013-1376-7,A. P. BaltenspergerT. C. MulletM. S. SchmidG. R. W. HumphriesL. KövérF. Huettmann,2013,http://link.springer.com/article/10.1007/s00300-013-1376-7,Article,"The common raven (Corvus corax) is an abundant generalist of the northern hemisphere, known to congregate and roost near human-related food sources. Due to a growing human-footprint and associated anthropogenic food subsidies, raven populations have increased dramatically over the past several years throughout the USA. The sub-arctic region has also witnessed increased urbanization and industrialization, and ravens have taken advantage of these changes. During 2004 and 2006, we surveyed parking lots on a bi-weekly basis in the city of Fairbanks in interior Alaska, showing an influx of ravens in winter. Between 2010 and 2012, we documented the presence and absence of ravens at a permanent set of 30 suspected raven locations and 21 randomized locations within the city limits of Fairbanks. We used machine learning (RandomForests) and 12 spatial GIS datasets from the Fairbanks North Star Borough to accurately model-predict the relative occurrence of ravens during winter and summer in Fairbanks. Our research showed a positive correlation between raven occurrence and commercial and residential zones in both winter and summer, as well as an inverse geographic relationship between ravens and the waste transfer station in the study area in winter, and a direct correlation near restaurants in summer. These results emphasize the link that ravens have with commercial, anthropogenic food sources, and how Fairbanks and its subsidized, urban habitat may be shaping part of the wider sub-arctic biodiversity landscape.","A. P. Baltensperger, T. C. Mullet, M. S. Schmid, G. R. W. Humphries, L. Kövér, F. Huettmann","Seasonal observations and machine-learning-based spatial model predictions for the common raven (Corvus corax) in the urban, sub-arctic environment of Fairbanks, Alaska"
Alphabetical Listing A to Z,Concise Encyclopedia of Plastics,,,,10.1007/978-1-4615-4579-8_16,Donald V. Rosato Ph.D.Marlene G. Rosato P. E.Dominick V. Rosato P. E.,2000,http://link.springer.com/chapter/10.1007/978-1-4615-4579-8_16,Chapter,,"Donald V. Rosato, Marlene G. Rosato, Dominick V. Rosato",
Data Mining: Knowledge from Data,Optimization for Industrial Problems,,,,10.1007/978-3-642-24974-7_5,Patrick Bangert,2012,http://link.springer.com/chapter/10.1007/978-3-642-24974-7_5,Chapter,"Underlying all data is a reality from which that data is obtained by a process of measurement. This process will be discussed in the next section. Let us focus, for the moment, on the concept of the underlying reality.",Patrick Bangert,
ECR 2005   Scientific Programme   Abstracts,European Radiology Supplements,,15,1,10.1007/s10406-005-0100-2,,2005,http://link.springer.com/article/10.1007/s10406-005-0100-2,Article,,,ECR 2005   Scientific Programme   Abstracts
Short-Term Power Demand Forecasting Using Information Technology Based Data Mining Method,Computational Science and Its Applications - ICCSA 2006,,,,10.1007/11751649_35,Sang-Yule Choi,2006,http://link.springer.com/chapter/10.1007/11751649_35,Chapter,"This paper proposes information technology based data mining to forecast short term power demand. A time-series analyses have been applied to power demand forecasting, but this method needs not only heavy computational calculation but also large amount of coefficient data. Therefore, it is hard to analyze data in fast way. To overcome time consuming process, the author take advantage of universally easily available information technology based data-mining technique to analyze patterns of days and special days(holidays, etc.). This technique consists of two steps, one is constructing decision tree, the other is estimating and forecasting power flow using decision tree analysis. To validate the efficiency, the author compares the estimated demand with real demand from the Korea Power Exchange.",Sang-Yule Choi,
"Proceedings of the 2012 World Molecular Imaging Congress, Dublin, Ireland, September 5-8, 2012",Molecular Imaging and Biology,,14,2,10.1007/s11307-012-0598-3,,2012,http://link.springer.com/article/10.1007/s11307-012-0598-3,Article,,,"Proceedings of the 2012 World Molecular Imaging Congress, Dublin, Ireland, September 5-8, 2012"
Introduction: Human and Computational Mind,Computational Mind: A Complex Dynamics Perspective,,,,10.1007/978-3-540-71561-0_1,,2007,http://link.springer.com/chapter/10.1007/978-3-540-71561-0_1,Chapter,,,
Comparing Classification Results between N-ary and Binary Problems,Quality Measures in Data Mining,,,,10.1007/978-3-540-44918-8_12,Mary Felkin,2007,http://link.springer.com/chapter/10.1007/978-3-540-44918-8_12,Chapter,,Mary Felkin,
Practice and Products,Chemoinformatics,,,,10.1007/1-4020-5001-1_2,,2007,http://link.springer.com/chapter/10.1007/1-4020-5001-1_2,Chapter,,,
Optimal Support Features for Meta-Learning,Meta-Learning in Computational Intelligence,,,,10.1007/978-3-642-20980-2_10,W odzis aw DuchTomasz MaszczykMarek Grochowski,2011,http://link.springer.com/chapter/10.1007/978-3-642-20980-2_10,Chapter,"Meta-learning has many aspects, but its final goal is to discover in an automatic way many interesting models for a given data. Our early attempts in this area involved heterogeneous learning systems combined with a complexity-guided search for optimal models, performed within the framework of (dis)similarity based methods to discover ""knowledge granules"". This approach, inspired by neurocognitive mechanisms of information processing in the brain, is generalized here to learning based on parallel chains of transformations that extract useful information granules and use it as additional features. Various types of transformations that generate hidden features are analyzed and methods to generate them are discussed. They include restricted random projections, optimization of these features using projection pursuit methods, similarity-based and general kernel-based features, conditionally defined features, features derived from partial successes of various learning algorithms, and using the whole learning models as new features. In the enhanced feature space the goal of learning is to create image of the input data that can be directly handled by relatively simple decision processes. The focus is on hierarchical methods for generation of information, starting from new support features that are discovered by different types of data models created on similar tasks and successively building more complex features on the enhanced feature spaces. Resulting algorithms facilitate deep learning, and also enable understanding of structures present in the data by visualization of the results of data transformations and by creating logical, fuzzy and prototype-based rules based on new features. Relations to various machine-learning approaches, comparison of results, and neurocognitive inspirations for meta-learning are discussed.","W odzis aw Duch, Tomasz Maszczyk, Marek Grochowski",
Abstracts,Annals of Behavioral Medicine,,49,1,10.1007/s12160-015-9688-1,,2015,http://link.springer.com/article/10.1007/s12160-015-9688-1,Article,,,Abstracts
R,Van Nostrand s Scientific Encyclopedia,,,,10.1007/978-1-4757-6918-0_18,Douglas M. Considine P.E.Glenn D. Considine,1995,http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_18,Chapter,,"Douglas M. Considine, Glenn D. Considine",
Porting Decision Tree Algorithms to Multicore Using FastFlow,Machine Learning and Knowledge Discovery in Databases,,,,10.1007/978-3-642-15880-3_7,Marco AldinucciSalvatore RuggieriMassimo Torquati,2010,http://link.springer.com/chapter/10.1007/978-3-642-15880-3_7,Chapter,"The whole computer hardware industry embraced multicores. For these machines, the extreme optimisation of sequential algorithms is no longer sufficient to squeeze the real machine power, which can be only exploited via thread-level parallelism. Decision tree algorithms exhibit natural concurrency that makes them suitable to be parallelised. This paper presents an approach for easy-yet-efficient porting of an implementation of the C4.5 algorithm on multicores. The parallel porting requires minimal changes to the original sequential code, and it is able to exploit up to 7  speedup on an Intel dual-quad core machine.","Marco Aldinucci, Salvatore Ruggieri, Massimo Torquati",
"Proceedings of the 2009 World Molecular Imaging Congress Montreal, Canada, September 23 26",Molecular Imaging and Biology,,12,1,10.1007/s11307-009-0251-y,,2010,http://link.springer.com/article/10.1007/s11307-009-0251-y,Article,,,"Proceedings of the 2009 World Molecular Imaging Congress Montreal, Canada, September 23 26"
10th International Congress on Amino Acids and Proteins (ICAAP),Amino Acids,,33,3,10.1007/s00726-007-0578-0,,2007,http://link.springer.com/article/10.1007/s00726-007-0578-0,Article,,,10th International Congress on Amino Acids and Proteins (ICAAP)
"Estimation of asphaltene precipitation in light, medium and heavy oils: experimental study and neural network modeling",Neural Computing and Applications,,28,4,10.1007/s00521-015-2097-3,S. AlimohammadiJavad Sayyad AminE. Nikooee,2017,http://link.springer.com/article/10.1007/s00521-015-2097-3,Article,"Asphaltene can precipitate in oil reservoirs as a result of natural depletion and/or gas injection crippling the oil production performance. Most of the conventional models for asphaltene precipitation cannot precisely capture the asphaltene precipitation at a wide pressure range and for different oil types. To have a precise model that can be used for various oil types at a wide range of pressure conditions, a comprehensive artificial neural network (ANN) model was proposed to estimate the weight percent of precipitated asphaltene in different oil types (three oil types, namely light, medium and heavy). The dilution ratio, pressure, molecular weight of solvent, API gravity and resin-to-asphaltene ratio were considered as the model input parameters. The oil samples were thus categorized based on the differences in their API gravity and resin-to-asphaltene ratio. Five hundred and fifty experimental precipitation datapoints were obtained from our experimental apparatus in a wide range of pressure, dilution ratio and injected fluid molecular weight, and used to make a comprehensive databank for model calibration and verification. At the test stage, the coefficient of correlation (R 2) was higher than 0.98 and mean square error was less than 0.04 indicating the good performance of the proposed model. Furthermore, a comparison between the prediction of ANN model and two types of alternative approaches, namely the thermodynamic and the fractal/aggregation approaches, was performed. For this purpose, the prediction of two of the widely used solubility models, Flory-Huggins and Modified Flory-Huggins and also a polydisperse thermodynamic model was compared to the prediction of the proposed ANN model. In addition to those, as a fractal/aggregation model, a scaling model was also selected and employed to compare its performance against that of the proposed ANN model. The ANN model showed a better performance as compared to the other conventional models. The results demonstrated that the proposed model provides acceptable prediction for different oil types over a wide range of pressure which is a difficult task for most of the conventional techniques.","S. Alimohammadi, Javad Sayyad Amin, E. Nikooee","Estimation of asphaltene precipitation in light, medium and heavy oils: experimental study and neural network modeling"
"Proceedings of the World Molecular Imaging Congress 2016, New York, New York, September 7-10, 2016: General Abstracts",Molecular Imaging and Biology,,18,2,10.1007/s11307-016-1031-0,,2016,http://link.springer.com/article/10.1007/s11307-016-1031-0,Article,,,"Proceedings of the World Molecular Imaging Congress 2016, New York, New York, September 7-10, 2016: General Abstracts"
"17th ISoP Annual Meeting  Pharmacovigilance in the 21st Century  Liverpool, UK 15 18 October, 2017",Drug Safety,,40,10,10.1007/s40264-017-0580-8,,2017,http://link.springer.com/article/10.1007/s40264-017-0580-8,Article,,,"17th ISoP Annual Meeting  Pharmacovigilance in the 21st Century  Liverpool, UK 15 18 October, 2017"
38th EASD Annual Meeting of the European Association for the Study of Diabetes,Diabetologia,,45,2,10.1007/BF03375460,,2002,http://link.springer.com/article/10.1007/BF03375460,Article,,,38th EASD Annual Meeting of the European Association for the Study of Diabetes
Abstracts DEGRO 2017,Strahlentherapie und Onkologie,,193,1,10.1007/s00066-017-1137-6,,2017,http://link.springer.com/article/10.1007/s00066-017-1137-6,Article,,,Abstracts DEGRO 2017
ECR 2016 Book of Abstracts - B - Scientific Sessions and Clinical Trials in Radiology,Insights into Imaging,,7,1,10.1007/s13244-016-0475-8,,2016,http://link.springer.com/article/10.1007/s13244-016-0475-8,Article,,,ECR 2016 Book of Abstracts - B - Scientific Sessions and Clinical Trials in Radiology
